,date_local,arithmetic_mean_gaseous,first_max_value_gaseous,first_max_hour_gaseous,aqi_gaseous,arithmetic_mean_particle,first_max_value_particle,first_max_hour_particle,aqi_particle,AQI,date_year
150,1992-07-29,,,,,13.0,13.0,0.0,12.0,12.0,1992
151,1992-08-04,,,,,17.0,17.0,0.0,16.0,16.0,1992
152,1992-08-10,,,,,27.0,27.0,0.0,25.0,25.0,1992
153,1992-08-16,,,,,18.0,18.0,0.0,17.0,17.0,1992
154,1992-08-22,,,,,10.0,10.0,0.0,9.0,9.0,1992
155,1992-08-28,,,,,20.0,20.0,0.0,19.0,19.0,1992
156,1992-09-03,,,,,17.0,17.0,0.0,16.0,16.0,1992
157,1992-09-09,,,,,24.0,24.0,0.0,22.0,22.0,1992
158,1992-09-15,,,,,27.0,27.0,0.0,25.0,25.0,1992
159,1992-09-21,,,,,31.0,31.0,0.0,29.0,29.0,1992
160,1992-09-27,,,,,33.0,33.0,0.0,31.0,31.0,1992
161,1992-10-03,,,,,21.0,21.0,0.0,19.0,19.0,1992
162,1992-10-09,,,,,36.0,36.0,0.0,33.0,33.0,1992
163,1992-10-15,,,,,23.0,23.0,0.0,21.0,21.0,1992
164,1992-10-21,,,,,22.0,22.0,0.0,20.0,20.0,1992
165,1992-10-27,,,,,8.0,8.0,0.0,7.0,7.0,1992
166,1992-11-02,,,,,6.0,6.0,0.0,6.0,6.0,1992
167,1992-11-08,,,,,11.0,11.0,0.0,10.0,10.0,1992
168,1992-11-14,,,,,26.0,26.0,0.0,24.0,24.0,1992
169,1992-11-20,,,,,11.0,11.0,0.0,10.0,10.0,1992
170,1992-11-26,,,,,14.0,14.0,0.0,13.0,13.0,1992
171,1992-12-02,,,,,25.0,25.0,0.0,23.0,23.0,1992
172,1992-12-08,,,,,3.0,3.0,0.0,3.0,3.0,1992
173,1992-12-14,,,,,32.0,32.0,0.0,30.0,30.0,1992
174,1992-12-20,,,,,10.0,10.0,0.0,9.0,9.0,1992
175,1992-12-26,,,,,53.0,53.0,0.0,49.0,49.0,1992
176,1993-01-01,,,,,9.0,9.0,0.0,8.0,8.0,1993
177,1993-01-07,,,,,7.0,7.0,0.0,6.0,6.0,1993
178,1993-01-13,,,,,8.0,8.0,0.0,7.0,7.0,1993
179,1993-01-19,,,,,5.0,5.0,0.0,5.0,5.0,1993
180,1993-01-25,,,,,26.0,26.0,0.0,24.0,24.0,1993
181,1993-01-31,,,,,10.0,10.0,0.0,9.0,9.0,1993
182,1993-02-06,,,,,19.0,19.0,0.0,18.0,18.0,1993
183,1993-02-12,,,,,12.0,12.0,0.0,11.0,11.0,1993
184,1993-02-18,,,,,13.0,13.0,0.0,12.0,12.0,1993
185,1993-02-24,,,,,8.0,8.0,0.0,7.0,7.0,1993
186,1993-03-02,,,,,15.0,15.0,0.0,14.0,14.0,1993
187,1993-03-08,,,,,22.0,22.0,0.0,20.0,20.0,1993
188,1993-03-14,,,,,14.0,14.0,0.0,13.0,13.0,1993
189,1993-03-20,,,,,19.0,19.0,0.0,18.0,18.0,1993
190,1993-03-26,,,,,12.0,12.0,0.0,11.0,11.0,1993
191,1993-04-01,,,,,17.0,17.0,0.0,16.0,16.0,1993
192,1993-04-07,,,,,31.0,31.0,0.0,29.0,29.0,1993
193,1993-04-13,,,,,15.0,15.0,0.0,14.0,14.0,1993
194,1993-04-19,,,,,14.0,14.0,0.0,13.0,13.0,1993
195,1993-04-25,,,,,67.0,67.0,0.0,57.0,57.0,1993
196,1993-05-01,,,,,28.0,28.0,0.0,26.0,26.0,1993
197,1993-05-07,,,,,36.0,36.0,0.0,33.0,33.0,1993
198,1993-05-13,,,,,43.0,43.0,0.0,40.0,40.0,1993
199,1993-05-19,,,,,27.0,27.0,0.0,25.0,25.0,1993
200,1993-05-25,,,,,23.0,23.0,0.0,21.0,21.0,1993
201,1993-05-31,,,,,20.0,20.0,0.0,19.0,19.0,1993
202,1993-06-06,,,,,11.0,11.0,0.0,10.0,10.0,1993
203,1993-06-12,,,,,28.0,28.0,0.0,26.0,26.0,1993
204,1993-06-18,,,,,20.0,20.0,0.0,19.0,19.0,1993
205,1993-06-24,,,,,35.0,35.0,0.0,32.0,32.0,1993
206,1993-06-30,,,,,49.0,49.0,0.0,45.0,45.0,1993
207,1993-07-06,,,,,35.0,35.0,0.0,32.0,32.0,1993
208,1993-07-12,,,,,21.0,21.0,0.0,19.0,19.0,1993
209,1993-07-18,,,,,11.0,11.0,0.0,10.0,10.0,1993
210,1993-07-24,,,,,19.0,19.0,0.0,18.0,18.0,1993
211,1993-07-30,,,,,43.0,43.0,0.0,40.0,40.0,1993
212,1993-08-05,,,,,21.0,21.0,0.0,19.0,19.0,1993
213,1993-08-11,,,,,19.0,19.0,0.0,18.0,18.0,1993
214,1993-08-17,,,,,17.0,17.0,0.0,16.0,16.0,1993
215,1993-08-23,,,,,18.0,18.0,0.0,17.0,17.0,1993
216,1993-08-29,,,,,23.0,23.0,0.0,21.0,21.0,1993
217,1993-09-04,,,,,18.0,18.0,0.0,17.0,17.0,1993
218,1993-09-10,,,,,28.0,28.0,0.0,26.0,26.0,1993
219,1993-09-16,,,,,19.0,19.0,0.0,18.0,18.0,1993
220,1993-09-22,,,,,29.0,29.0,0.0,27.0,27.0,1993
221,1993-09-28,,,,,27.0,27.0,0.0,25.0,25.0,1993
222,1993-10-04,,,,,27.0,27.0,0.0,25.0,25.0,1993
223,1993-10-10,,,,,12.0,12.0,0.0,11.0,11.0,1993
224,1993-10-16,,,,,15.0,15.0,0.0,14.0,14.0,1993
225,1993-10-22,,,,,18.0,18.0,0.0,17.0,17.0,1993
226,1993-10-28,,,,,12.0,12.0,0.0,11.0,11.0,1993
227,1993-11-03,,,,,20.0,20.0,0.0,19.0,19.0,1993
228,1993-11-09,,,,,28.0,28.0,0.0,26.0,26.0,1993
229,1993-11-15,,,,,26.0,26.0,0.0,24.0,24.0,1993
230,1993-11-21,,,,,13.0,13.0,0.0,12.0,12.0,1993
231,1993-11-27,,,,,11.0,11.0,0.0,10.0,10.0,1993
232,1993-12-03,,,,,19.0,19.0,0.0,18.0,18.0,1993
233,1993-12-09,,,,,21.0,21.0,0.0,19.0,19.0,1993
234,1993-12-15,,,,,6.0,6.0,0.0,6.0,6.0,1993
235,1993-12-21,,,,,11.0,11.0,0.0,10.0,10.0,1993
236,1993-12-27,,,,,18.0,18.0,0.0,17.0,17.0,1993
237,1994-01-02,,,,,19.0,19.0,0.0,18.0,18.0,1994
238,1994-01-08,,,,,19.0,19.0,0.0,18.0,18.0,1994
239,1994-01-14,,,,,38.0,38.0,0.0,35.0,35.0,1994
240,1994-01-20,,,,,21.0,21.0,0.0,19.0,19.0,1994
241,1994-01-26,,,,,10.0,10.0,0.0,9.0,9.0,1994
242,1994-02-01,,,,,55.0,55.0,0.0,51.0,51.0,1994
243,1994-02-07,,,,,15.0,15.0,0.0,14.0,14.0,1994
244,1994-02-13,,,,,7.0,7.0,0.0,6.0,6.0,1994
245,1994-02-19,,,,,4.0,4.0,0.0,4.0,4.0,1994
246,1994-02-25,,,,,14.0,14.0,0.0,13.0,13.0,1994
247,1994-03-03,,,,,18.0,18.0,0.0,17.0,17.0,1994
248,1994-03-09,,,,,8.0,8.0,0.0,7.0,7.0,1994
249,1994-03-15,,,,,9.0,9.0,0.0,8.0,8.0,1994
250,1994-03-21,,,,,15.0,15.0,0.0,14.0,14.0,1994
251,1994-03-27,,,,,28.0,28.0,0.0,26.0,26.0,1994
252,1994-04-02,,,,,28.0,28.0,0.0,26.0,26.0,1994
253,1994-04-08,,,,,15.0,15.0,0.0,14.0,14.0,1994
254,1994-04-14,,,,,35.0,35.0,0.0,32.0,32.0,1994
255,1994-04-20,,,,,37.0,37.0,0.0,34.0,34.0,1994
256,1994-04-26,,,,,17.0,17.0,0.0,16.0,16.0,1994
257,1994-05-02,,,,,26.0,26.0,0.0,24.0,24.0,1994
258,1994-05-08,,,,,13.0,13.0,0.0,12.0,12.0,1994
259,1994-05-14,,,,,21.0,21.0,0.0,19.0,19.0,1994
260,1994-05-20,,,,,16.0,16.0,0.0,15.0,15.0,1994
261,1994-05-26,,,,,12.0,12.0,0.0,11.0,11.0,1994
262,1994-06-01,,,,,16.0,16.0,0.0,15.0,15.0,1994
263,1994-06-07,,,,,39.0,39.0,0.0,36.0,36.0,1994
264,1994-06-13,,,,,24.0,24.0,0.0,22.0,22.0,1994
265,1994-06-19,,,,,19.0,19.0,0.0,18.0,18.0,1994
266,1994-06-25,,,,,34.0,34.0,0.0,31.0,31.0,1994
267,1994-07-01,,,,,41.0,41.0,0.0,38.0,38.0,1994
268,1994-07-07,,,,,36.0,36.0,0.0,33.0,33.0,1994
269,1994-07-13,,,,,23.0,23.0,0.0,21.0,21.0,1994
270,1994-07-19,,,,,18.0,18.0,0.0,17.0,17.0,1994
271,1994-07-25,,,,,15.0,15.0,0.0,14.0,14.0,1994
272,1994-07-31,,,,,15.0,15.0,0.0,14.0,14.0,1994
273,1994-08-06,,,,,31.0,31.0,0.0,29.0,29.0,1994
274,1994-08-12,,,,,14.0,14.0,0.0,13.0,13.0,1994
275,1994-08-18,,,,,25.0,25.0,0.0,23.0,23.0,1994
276,1994-08-24,,,,,22.0,22.0,0.0,20.0,20.0,1994
277,1994-08-30,,,,,24.0,24.0,0.0,22.0,22.0,1994
278,1994-09-05,,,,,12.0,12.0,0.0,11.0,11.0,1994
279,1994-09-11,,,,,11.0,11.0,0.0,10.0,10.0,1994
280,1994-09-17,,,,,21.0,21.0,0.0,19.0,19.0,1994
281,1994-09-23,,,,,18.0,18.0,0.0,17.0,17.0,1994
282,1994-09-29,,,,,19.0,19.0,0.0,18.0,18.0,1994
283,1994-10-05,,,,,15.0,15.0,0.0,14.0,14.0,1994
284,1994-10-11,,,,,37.0,37.0,0.0,34.0,34.0,1994
285,1994-10-17,,,,,16.0,16.0,0.0,15.0,15.0,1994
286,1994-10-23,,,,,19.0,19.0,0.0,18.0,18.0,1994
287,1994-10-29,,,,,26.0,26.0,0.0,24.0,24.0,1994
288,1994-11-04,,,,,13.0,13.0,0.0,12.0,12.0,1994
289,1994-11-10,,,,,23.0,23.0,0.0,21.0,21.0,1994
290,1994-11-16,,,,,10.0,10.0,0.0,9.0,9.0,1994
291,1994-11-22,,,,,25.0,25.0,0.0,23.0,23.0,1994
292,1994-11-28,,,,,4.0,4.0,0.0,4.0,4.0,1994
293,1994-12-04,,,,,29.0,29.0,0.0,27.0,27.0,1994
294,1994-12-10,,,,,18.0,18.0,0.0,17.0,17.0,1994
295,1994-12-16,,,,,22.0,22.0,0.0,20.0,20.0,1994
296,1994-12-22,,,,,35.0,35.0,0.0,32.0,32.0,1994
297,1994-12-28,,,,,16.0,16.0,0.0,15.0,15.0,1994
298,1995-01-03,,,,,10.0,10.0,0.0,9.0,9.0,1995
299,1995-01-09,,,,,19.0,19.0,0.0,18.0,18.0,1995
300,1995-01-15,,,,,11.0,11.0,0.0,10.0,10.0,1995
301,1995-01-21,,,,,13.0,13.0,0.0,12.0,12.0,1995
302,1995-01-27,,,,,11.0,11.0,0.0,10.0,10.0,1995
303,1995-02-02,,,,,26.0,26.0,0.0,24.0,24.0,1995
304,1995-02-08,,,,,23.0,23.0,0.0,21.0,21.0,1995
305,1995-02-14,,,,,4.0,4.0,0.0,4.0,4.0,1995
306,1995-02-20,,,,,14.0,14.0,0.0,13.0,13.0,1995
307,1995-02-26,,,,,9.0,9.0,0.0,8.0,8.0,1995
308,1995-03-04,,,,,8.0,8.0,0.0,7.0,7.0,1995
309,1995-03-10,,,,,18.0,18.0,0.0,17.0,17.0,1995
310,1995-03-16,,,,,20.0,20.0,0.0,19.0,19.0,1995
311,1995-03-22,,,,,10.0,10.0,0.0,9.0,9.0,1995
312,1995-03-28,,,,,16.0,16.0,0.0,15.0,15.0,1995
313,1995-04-03,,,,,17.0,17.0,0.0,16.0,16.0,1995
314,1995-04-09,,,,,26.0,26.0,0.0,24.0,24.0,1995
315,1995-04-15,,,,,14.0,14.0,0.0,13.0,13.0,1995
316,1995-04-21,,,,,8.0,8.0,0.0,7.0,7.0,1995
317,1995-04-27,,,,,17.0,17.0,0.0,16.0,16.0,1995
318,1995-05-03,,,,,17.0,17.0,0.0,16.0,16.0,1995
319,1995-05-09,,,,,16.0,16.0,0.0,15.0,15.0,1995
320,1995-05-15,,,,,12.0,12.0,0.0,11.0,11.0,1995
321,1995-05-21,,,,,13.0,13.0,0.0,12.0,12.0,1995
322,1995-05-27,,,,,17.0,17.0,0.0,16.0,16.0,1995
323,1995-06-02,,,,,32.0,32.0,0.0,30.0,30.0,1995
324,1995-06-08,,,,,23.0,23.0,0.0,21.0,21.0,1995
325,1995-06-14,,,,,26.0,26.0,0.0,24.0,24.0,1995
326,1995-06-20,,,,,30.0,30.0,0.0,28.0,28.0,1995
327,1995-06-26,,,,,33.0,33.0,0.0,31.0,31.0,1995
328,1995-07-02,,,,,18.0,18.0,0.0,17.0,17.0,1995
329,1995-07-08,,,,,36.0,36.0,0.0,33.0,33.0,1995
330,1995-07-14,,,,,16.0,16.0,0.0,15.0,15.0,1995
331,1995-07-20,,,,,12.0,12.0,0.0,11.0,11.0,1995
332,1995-07-26,,,,,26.0,26.0,0.0,24.0,24.0,1995
333,1995-08-01,,,,,22.0,22.0,0.0,20.0,20.0,1995
334,1995-08-07,,,,,31.0,31.0,0.0,29.0,29.0,1995
335,1995-08-13,,,,,17.0,17.0,0.0,16.0,16.0,1995
336,1995-08-19,,,,,11.0,11.0,0.0,10.0,10.0,1995
337,1995-08-25,,,,,15.0,15.0,0.0,14.0,14.0,1995
338,1995-08-31,,,,,20.0,20.0,0.0,19.0,19.0,1995
339,1995-09-06,,,,,17.0,17.0,0.0,16.0,16.0,1995
340,1995-09-12,,,,,23.0,23.0,0.0,21.0,21.0,1995
341,1995-09-18,,,,,24.0,24.0,0.0,22.0,22.0,1995
342,1995-09-24,,,,,17.0,17.0,0.0,16.0,16.0,1995
343,1995-09-30,,,,,38.0,38.0,0.0,35.0,35.0,1995
344,1995-10-06,,,,,24.0,24.0,0.0,22.0,22.0,1995
345,1995-10-12,,,,,34.0,34.0,0.0,31.0,31.0,1995
346,1995-10-18,,,,,31.0,31.0,0.0,29.0,29.0,1995
347,1995-10-24,,,,,70.0,70.0,0.0,58.0,58.0,1995
348,1995-10-30,,,,,26.0,26.0,0.0,24.0,24.0,1995
349,1995-11-05,,,,,12.0,12.0,0.0,11.0,11.0,1995
350,1995-11-11,,,,,19.0,19.0,0.0,18.0,18.0,1995
351,1995-11-17,,,,,18.0,18.0,0.0,17.0,17.0,1995
352,1995-11-23,,,,,32.0,32.0,0.0,30.0,30.0,1995
353,1995-11-29,,,,,49.0,49.0,0.0,45.0,45.0,1995
354,1995-12-05,,,,,29.0,29.0,0.0,27.0,27.0,1995
355,1995-12-11,,,,,29.0,29.0,0.0,27.0,27.0,1995
356,1995-12-23,,,,,20.0,20.0,0.0,19.0,19.0,1995
357,1995-12-29,,,,,22.0,22.0,0.0,20.0,20.0,1995
358,1996-01-04,,,,,21.0,21.0,0.0,19.0,19.0,1996
359,1996-01-10,,,,,23.0,23.0,0.0,21.0,21.0,1996
360,1996-01-16,,,,,31.0,31.0,0.0,29.0,29.0,1996
361,1996-01-22,,,,,8.0,8.0,0.0,7.0,7.0,1996
362,1996-01-28,,,,,21.0,21.0,0.0,19.0,19.0,1996
363,1996-02-03,,,,,22.0,22.0,0.0,20.0,20.0,1996
364,1996-02-09,,,,,12.0,12.0,0.0,11.0,11.0,1996
365,1996-02-15,,,,,20.0,20.0,0.0,19.0,19.0,1996
366,1996-02-21,,,,,5.0,5.0,0.0,5.0,5.0,1996
367,1996-02-27,,,,,8.0,8.0,0.0,7.0,7.0,1996
368,1996-03-04,,,,,9.0,9.0,0.0,8.0,8.0,1996
369,1996-03-10,,,,,13.0,13.0,0.0,12.0,12.0,1996
370,1996-03-16,,,,,15.0,15.0,0.0,14.0,14.0,1996
371,1996-03-22,,,,,22.0,22.0,0.0,20.0,20.0,1996
372,1996-03-28,,,,,21.0,21.0,0.0,19.0,19.0,1996
373,1996-04-03,,,,,11.0,11.0,0.0,10.0,10.0,1996
374,1996-04-09,,,,,21.0,21.0,0.0,19.0,19.0,1996
375,1996-04-15,,,,,11.0,11.0,0.0,10.0,10.0,1996
376,1996-04-21,,,,,10.0,10.0,0.0,9.0,9.0,1996
377,1996-04-24,0.0685,0.073,23.0,108.0,,,,,108.0,1996
